contribution_id,policy_id,contribution_date,gross_amount,wakalah_fee_shareholders_fund,prf_amount,pif_amount,payment_method
CTB00000064,POL0002453,2023-04-02,1972.88,453.76,744.37,774.75,Online Banking
CTB00000065,POL0000645,2026-05-14,1078.05,194.05,335.92,548.08,Salary Deduction
CTB00000066,POL0003544,2026-04-11,658.32,217.25,97.04,344.03,Credit Card
CTB00000067,POL0003885,2025-03-15,686.72,123.61,225.24,337.87,Auto-Debit
CTB00000068,POL0000681,2024-12-14,951.89,257.01,694.88,0.0,Salary Deduction
CTB00000069,POL0004305,2026-06-19,329.24,102.06,227.18,0.0,Auto-Debit
CTB00000070,POL0001383,2026-02-11,335.16,103.9,231.26,0.0,Online Banking
CTB00000071,POL0004725,2022-01-18,637.29,152.95,484.34,0.0,Online Banking
CTB00000072,POL0001464,2024-09-05,1478.09,369.52,543.2,565.37,Auto-Debit
CTB00000073,POL0001765,2025-12-22,986.58,157.85,828.73,0.0,Online Banking
CTB00000074,POL0001548,2023-09-18,859.86,197.77,284.7,377.39,Credit Card
CTB00000075,POL0004984,2023-01-03,1078.53,291.2,787.33,0.0,Salary Deduction
CTB00000076,POL0004592,2024-07-02,1489.0,357.36,384.76,746.88,Credit Card
CTB00000077,POL0004017,2024-07-15,1293.22,232.78,307.53,752.91,Salary Deduction
CTB00000078,POL0000937,2026-08-25,1121.16,369.98,751.18,0.0,Credit Card
CTB00000079,POL0002223,2026-02-16,398.38,119.51,278.87,0.0,Salary Deduction
CTB00000080,POL0004425,2025-06-27,435.08,108.77,326.31,0.0,Salary Deduction
CTB00000081,POL0003293,2023-05-29,65.03,13.01,24.97,27.05,Online Banking
CTB00000082,POL0004452,2026-06-24,1381.66,345.42,1036.24,0.0,Auto-Debit
CTB00000083,POL0003982,2025-07-15,360.76,82.97,277.79,0.0,Credit Card
CTB00000084,POL0002226,2024-04-01,1676.92,318.61,1358.31,0.0,Online Banking
CTB00000085,POL0004773,2023-03-09,1833.31,348.33,1484.98,0.0,Online Banking
CTB00000086,POL0002229,2024-08-26,1673.24,267.72,1405.52,0.0,Auto-Debit
CTB00000087,POL0002542,2024-11-03,1681.71,454.06,491.06,736.59,Credit Card
CTB00000088,POL0002640,2026-09-05,543.14,184.67,358.47,0.0,Credit Card
CTB00000089,POL0003846,2023-09-25,638.86,114.99,110.01,413.86,Online Banking
CTB00000090,POL0000723,2024-09-25,108.76,28.28,80.48,0.0,Auto-Debit
CTB00000091,POL0003119,2024-02-24,225.55,42.85,43.85,138.85,Salary Deduction
CTB00000092,POL0003587,2024-04-08,327.5,94.97,232.53,0.0,Credit Card
CTB00000093,POL0001623,2025-02-10,1841.03,625.95,449.58,765.5,Online Banking
CTB00000094,POL0004732,2022-06-12,550.83,143.22,407.61,0.0,Credit Card
CTB00000095,POL0004975,2025-03-14,372.81,59.65,313.16,0.0,Credit Card
CTB00000096,POL0000960,2026-02-21,82.3,24.69,57.61,0.0,Credit Card
CTB00000097,POL0004201,2024-06-14,1184.5,248.75,935.75,0.0,Credit Card
CTB00000098,POL0000945,2026-01-21,579.32,185.38,141.82,252.12,Online Banking
CTB00000099,POL0002209,2026-01-01,551.95,132.47,419.48,0.0,Auto-Debit
CTB00000100,POL0003463,2021-09-11,1785.45,535.63,474.93,774.89,Credit Card
CTB00000101,POL0004018,2026-05-30,273.2,68.3,204.9,0.0,Auto-Debit
CTB00000102,POL0003247,2023-06-02,610.28,152.57,91.54,366.17,Salary Deduction
CTB00000103,POL0001377,2021-10-28,601.87,156.49,445.38,0.0,Auto-Debit
CTB00000104,POL0004596,2025-08-17,448.3,80.69,367.61,0.0,Auto-Debit
CTB00000105,POL0003274,2026-03-16,1007.28,211.53,795.75,0.0,Credit Card
CTB00000106,POL0002310,2024-01-01,1955.93,410.75,1545.18,0.0,Credit Card
CTB00000107,POL0000167,2025-05-30,662.33,165.58,496.75,0.0,Online Banking
CTB00000108,POL0002535,2024-03-05,1791.75,519.61,1272.14,0.0,Auto-Debit
CTB00000109,POL0000592,2025-09-16,357.93,78.74,279.19,0.0,Auto-Debit
CTB00000110,POL0002400,2026-01-14,1382.78,387.18,995.6,0.0,Credit Card
CTB00000111,POL0003686,2025-11-25,217.49,36.97,41.52,139.0,Salary Deduction
CTB00000112,POL0003978,2023-04-21,1860.87,316.35,1544.52,0.0,Credit Card
CTB00000113,POL0001964,2024-10-16,123.85,42.11,29.43,52.31,Online Banking
CTB00000114,POL0004415,2023-09-20,1480.63,473.8,1006.83,0.0,Online Banking
CTB00000115,POL0004868,2024-07-10,496.11,163.72,332.39,0.0,Online Banking
CTB00000116,POL0004115,2026-07-18,338.44,57.53,280.91,0.0,Auto-Debit
CTB00000117,POL0004533,2022-01-06,575.33,120.82,454.51,0.0,Auto-Debit
CTB00000118,POL0000454,2026-02-21,573.03,114.61,197.12,261.3,Salary Deduction
CTB00000119,POL0001348,2025-10-08,543.9,179.49,364.41,0.0,Credit Card
CTB00000120,POL0001737,2025-06-25,1218.86,414.41,804.45,0.0,Salary Deduction
CTB00000121,POL0003150,2023-12-27,198.8,67.59,131.21,0.0,Online Banking
CTB00000122,POL0002618,2026-04-01,1025.43,246.1,187.04,592.29,Credit Card
CTB00000123,POL0002241,2025-08-08,1760.57,369.72,1390.85,0.0,Salary Deduction
CTB00000124,POL0001411,2026-05-30,800.49,144.09,656.4,0.0,Salary Deduction
CTB00000125,POL0002348,2026-07-01,600.57,108.1,226.54,265.93,Online Banking
CTB00000126,POL0001797,2023-07-21,1829.55,548.87,1280.68,0.0,Online Banking
CTB00000127,POL0003103,2023-08-11,1526.68,458.0,512.97,555.71,Online Banking
CTB00000128,POL0001477,2023-12-03,543.96,97.91,147.2,298.85,Salary Deduction
CTB00000129,POL0000822,2024-09-04,407.16,114.0,293.16,0.0,Credit Card
CTB00000130,POL0004323,2022-01-09,1546.52,324.77,1221.75,0.0,Credit Card
CTB00000131,POL0000587,2025-02-09,763.64,145.09,618.55,0.0,Auto-Debit
CTB00000132,POL0004224,2021-04-09,1314.29,381.14,345.27,587.88,Online Banking
CTB00000133,POL0002368,2025-07-03,1694.01,559.02,454.0,680.99,Credit Card
CTB00000134,POL0000897,2024-10-14,462.57,124.89,165.46,172.22,Credit Card
CTB00000135,POL0004936,2025-12-23,1129.58,248.51,211.46,669.61,Online Banking
CTB00000136,POL0001221,2023-02-18,137.52,41.26,96.26,0.0,Online Banking
CTB00000137,POL0004823,2026-05-20,1042.07,312.62,729.45,0.0,Auto-Debit
CTB00000138,POL0000218,2026-09-02,1161.76,360.15,200.4,601.21,Online Banking
CTB00000139,POL0003339,2025-02-28,154.08,36.98,36.3,80.8,Auto-Debit
CTB00000140,POL0002258,2026-07-30,1950.62,429.14,426.01,1095.47,Credit Card
CTB00000141,POL0002328,2023-01-11,1574.75,472.42,1102.33,0.0,Online Banking
CTB00000142,POL0004919,2026-08-07,1951.98,468.48,400.55,1082.95,Online Banking
CTB00000143,POL0003510,2021-11-13,553.72,105.21,197.34,251.17,Online Banking
CTB00000144,POL0002079,2025-03-17,1883.16,357.8,533.88,991.48,Credit Card
CTB00000145,POL0003047,2026-05-29,855.02,205.2,649.82,0.0,Online Banking
CTB00000146,POL0004036,2025-10-31,1814.05,399.09,382.04,1032.92,Online Banking
CTB00000147,POL0000626,2023-11-23,949.83,303.95,645.88,0.0,Salary Deduction
CTB00000148,POL0002703,2022-12-18,1977.66,336.2,1641.46,0.0,Salary Deduction
CTB00000149,POL0002067,2023-11-01,563.9,191.73,372.17,0.0,Salary Deduction
CTB00000150,POL0003644,2024-06-25,1277.47,408.79,868.68,0.0,Auto-Debit
CTB00000151,POL0002903,2021-11-21,995.62,169.26,380.13,446.23,Auto-Debit
CTB00000152,POL0002963,2026-08-03,742.63,207.94,534.69,0.0,Online Banking
CTB00000153,POL0001885,2025-09-11,277.11,55.42,221.69,0.0,Salary Deduction
CTB00000154,POL0001368,2025-08-16,403.95,113.11,127.97,162.87,Credit Card
CTB00000155,POL0000141,2026-06-27,1904.99,361.95,663.51,879.53,Credit Card
CTB00000156,POL0000928,2026-08-26,236.92,71.08,165.84,0.0,Online Banking
CTB00000157,POL0002134,2025-10-08,1613.72,274.33,361.64,977.75,Online Banking
CTB00000158,POL0001138,2022-08-21,920.94,313.12,607.82,0.0,Online Banking
CTB00000159,POL0001084,2025-03-04,1834.26,311.82,1522.44,0.0,Salary Deduction
CTB00000160,POL0001872,2026-02-22,1115.35,289.99,825.36,0.0,Online Banking
CTB00000161,POL0001033,2025-12-27,1344.57,403.37,941.2,0.0,Auto-Debit
CTB00000162,POL0003251,2026-09-05,595.02,136.85,458.17,0.0,Salary Deduction
CTB00000163,POL0003451,2026-04-30,1548.86,232.33,447.62,868.91,Salary Deduction
CTB00000164,POL0002326,2026-08-08,1777.4,604.32,375.39,797.69,Online Banking
CTB00000165,POL0004874,2022-06-20,1492.68,373.17,380.63,738.88,Salary Deduction
CTB00000166,POL0004594,2022-03-31,1738.17,469.31,494.86,774.0,Credit Card
CTB00000167,POL0004704,2026-08-25,83.51,28.39,55.12,0.0,Auto-Debit
CTB00000168,POL0000148,2023-05-12,1691.29,456.65,1234.64,0.0,Credit Card
CTB00000169,POL0004767,2026-01-14,64.39,12.23,52.16,0.0,Online Banking
CTB00000170,POL0002621,2021-07-11,1797.74,557.3,1240.44,0.0,Online Banking
CTB00000171,POL0001200,2025-08-14,813.13,178.89,152.22,482.02,Salary Deduction
CTB00000172,POL0004970,2026-06-27,1073.6,343.55,306.62,423.43,Online Banking
CTB00000173,POL0001029,2024-10-08,583.36,169.17,91.12,323.07,Online Banking
CTB00000174,POL0000108,2026-03-12,627.68,200.86,183.53,243.29,Online Banking
CTB00000175,POL0001407,2023-09-16,1729.27,466.9,1262.37,0.0,Salary Deduction
CTB00000176,POL0004990,2026-04-13,663.62,212.36,180.5,270.76,Salary Deduction
CTB00000177,POL0003115,2025-08-03,1030.32,340.01,296.83,393.48,Auto-Debit
CTB00000178,POL0002777,2026-07-31,878.42,307.45,570.97,0.0,Salary Deduction
CTB00000179,POL0002404,2026-03-09,954.64,315.03,281.43,358.18,Online Banking
CTB00000180,POL0001572,2025-09-10,1428.97,328.66,1100.31,0.0,Credit Card
CTB00000181,POL0004874,2022-04-10,1492.68,388.1,364.51,740.07,Auto-Debit
CTB00000182,POL0000425,2026-06-02,1853.86,278.08,441.22,1134.56,Auto-Debit
CTB00000183,POL0001632,2024-10-19,1227.08,220.87,211.3,794.91,Auto-Debit
CTB00000184,POL0004328,2025-10-31,1687.8,506.34,1181.46,0.0,Credit Card
CTB00000185,POL0001555,2026-07-20,1419.54,241.32,1178.22,0.0,Credit Card
CTB00000186,POL0003765,2025-12-15,1019.06,173.24,845.82,0.0,Auto-Debit
CTB00000187,POL0002992,2025-11-17,475.23,123.56,126.6,225.07,Online Banking
CTB00000188,POL0000827,2024-09-11,1225.48,330.88,894.6,0.0,Auto-Debit
CTB00000189,POL0002548,2026-08-27,1513.2,302.64,1210.56,0.0,Online Banking
CTB00000190,POL0001952,2026-05-29,618.27,105.11,513.16,0.0,Auto-Debit
CTB00000191,POL0000700,2024-03-07,1612.8,451.58,452.88,708.34,Salary Deduction
CTB00000192,POL0001215,2026-08-20,145.53,39.29,51.0,55.24,Online Banking
CTB00000193,POL0000562,2023-11-22,1106.71,354.15,338.65,413.91,Auto-Debit
CTB00000194,POL0000322,2025-08-17,1703.57,579.21,1124.36,0.0,Auto-Debit
CTB00000195,POL0000047,2023-01-31,614.55,208.95,186.58,219.02,Salary Deduction
CTB00000196,POL0004217,2024-05-24,1264.13,328.67,935.46,0.0,Auto-Debit
CTB00000197,POL0002307,2025-09-16,1616.49,468.78,424.65,723.06,Salary Deduction
CTB00000198,POL0003321,2026-07-16,722.24,202.23,520.01,0.0,Online Banking
CTB00000199,POL0000841,2023-01-24,1504.29,240.69,1263.6,0.0,Credit Card
CTB00000200,POL0002737,2022-05-08,578.19,98.29,479.9,0.0,Credit Card
CTB00000201,POL0001144,2025-01-15,1863.75,615.04,399.59,849.12,Online Banking
CTB00000202,POL0001348,2025-05-31,543.9,92.46,451.44,0.0,Salary Deduction
CTB00000203,POL0001464,2025-07-23,1478.09,428.65,209.89,839.55,Salary Deduction
CTB00000204,POL0001249,2025-05-14,970.95,194.19,776.76,0.0,Online Banking
CTB00000205,POL0003755,2022-10-25,782.24,125.16,657.08,0.0,Credit Card
CTB00000206,POL0002529,2026-08-03,1064.79,351.38,713.41,0.0,Credit Card
CTB00000207,POL0004216,2022-10-31,1818.51,309.15,1509.36,0.0,Credit Card
CTB00000208,POL0004761,2026-04-12,1184.07,378.9,805.17,0.0,Salary Deduction
CTB00000209,POL0000075,2025-10-09,1580.34,553.12,1027.22,0.0,Salary Deduction
CTB00000210,POL0000670,2022-11-08,912.58,264.65,220.3,427.63,Salary Deduction
CTB00000211,POL0001831,2024-09-26,1451.36,493.46,957.9,0.0,Online Banking
CTB00000212,POL0003811,2026-06-05,1938.68,348.96,747.17,842.55,Credit Card
CTB00000213,POL0003941,2023-03-22,1377.85,358.24,1019.61,0.0,Online Banking
CTB00000214,POL0003301,2021-12-22,331.75,89.57,79.92,162.26,Auto-Debit
CTB00000215,POL0000838,2025-11-13,1188.8,368.53,820.27,0.0,Auto-Debit
CTB00000216,POL0000049,2026-06-09,217.26,56.49,72.35,88.42,Online Banking
CTB00000217,POL0001420,2026-07-06,1069.99,203.3,866.69,0.0,Online Banking
CTB00000218,POL0002759,2025-07-21,1394.45,334.67,1059.78,0.0,Online Banking
CTB00000219,POL0002242,2026-09-08,1149.37,206.89,226.2,716.28,Credit Card
CTB00000220,POL0001075,2021-12-15,1706.57,392.51,289.09,1024.97,Auto-Debit
CTB00000221,POL0002118,2024-11-14,746.63,253.85,492.78,0.0,Online Banking
CTB00000222,POL0001576,2023-01-17,1808.77,397.93,1410.84,0.0,Salary Deduction
CTB00000223,POL0002765,2026-07-25,786.6,188.78,597.82,0.0,Auto-Debit
CTB00000224,POL0003309,2026-04-11,1995.31,558.69,1436.62,0.0,Online Banking
CTB00000225,POL0002926,2025-08-25,538.18,134.54,108.98,294.66,Online Banking
CTB00000226,POL0001022,2025-06-02,216.87,56.39,160.48,0.0,Online Banking
CTB00000227,POL0004396,2025-04-27,969.57,329.65,300.76,339.16,Auto-Debit
CTB00000228,POL0002040,2022-07-22,107.29,18.24,33.84,55.21,Credit Card
CTB00000229,POL0003194,2025-03-07,480.87,163.5,63.47,253.9,Online Banking
CTB00000230,POL0003215,2025-12-27,1798.38,575.48,452.47,770.43,Credit Card
CTB00000231,POL0004583,2025-10-28,131.08,22.28,108.8,0.0,Auto-Debit
CTB00000232,POL0003649,2026-01-28,1059.58,349.66,709.92,0.0,Salary Deduction
CTB00000233,POL0000939,2026-05-26,1672.33,351.19,1321.14,0.0,Salary Deduction
CTB00000234,POL0004520,2025-06-18,97.36,30.18,67.18,0.0,Salary Deduction
CTB00000235,POL0003097,2025-02-03,870.26,182.75,226.88,460.63,Online Banking
CTB00000236,POL0003548,2026-03-18,999.99,270.0,729.99,0.0,Auto-Debit
CTB00000237,POL0001499,2024-03-29,242.52,82.46,54.42,105.64,Salary Deduction
CTB00000238,POL0002437,2024-01-30,1565.33,422.64,1142.69,0.0,Credit Card
CTB00000239,POL0004463,2025-04-15,424.52,93.39,96.03,235.1,Credit Card
CTB00000240,POL0003833,2023-09-24,360.01,72.0,288.01,0.0,Credit Card
CTB00000241,POL0003705,2026-06-25,452.2,158.27,293.93,0.0,Auto-Debit
CTB00000242,POL0000392,2023-04-18,1502.49,285.47,1217.02,0.0,Salary Deduction
CTB00000243,POL0004192,2024-09-01,1824.08,401.3,1422.78,0.0,Online Banking
CTB00000244,POL0004279,2025-01-21,1927.54,385.51,1542.03,0.0,Online Banking
CTB00000245,POL0002163,2026-05-04,1202.25,396.74,805.51,0.0,Auto-Debit
CTB00000246,POL0002358,2025-09-15,1111.67,333.5,778.17,0.0,Online Banking
CTB00000247,POL0002565,2025-07-20,487.88,78.06,409.82,0.0,Salary Deduction
CTB00000248,POL0000507,2026-03-25,415.78,128.89,129.1,157.79,Online Banking
CTB00000249,POL0003097,2026-02-17,870.26,217.56,241.5,411.2,Online Banking
CTB00000250,POL0000358,2023-11-06,551.84,99.33,452.51,0.0,Auto-Debit
CTB00000251,POL0001576,2023-03-25,1808.77,361.75,1447.02,0.0,Online Banking
CTB00000252,POL0000400,2025-11-19,1077.17,258.52,368.39,450.26,Auto-Debit
CTB00000253,POL0000755,2022-07-16,980.06,323.42,656.64,0.0,Credit Card
CTB00000254,POL0001599,2023-06-14,1410.47,282.09,1128.38,0.0,Credit Card
CTB00000255,POL0000511,2026-02-03,453.76,122.52,331.24,0.0,Credit Card
CTB00000256,POL0002774,2021-04-23,283.62,96.43,187.19,0.0,Salary Deduction
CTB00000257,POL0001322,2023-11-17,522.27,88.79,433.48,0.0,Auto-Debit
CTB00000258,POL0000417,2024-02-21,536.44,101.92,434.52,0.0,Credit Card
CTB00000259,POL0002334,2024-10-04,1667.39,500.22,1167.17,0.0,Auto-Debit
CTB00000260,POL0003539,2025-08-08,1595.55,382.93,509.3,703.32,Credit Card
CTB00000261,POL0003547,2023-03-14,1954.24,547.19,1407.05,0.0,Auto-Debit
CTB00000262,POL0003456,2023-02-20,1301.96,208.31,1093.65,0.0,Credit Card
CTB00000263,POL0000700,2024-06-29,1612.8,564.48,314.5,733.82,Credit Card
CTB00000264,POL0003904,2023-12-21,1567.49,391.87,1175.62,0.0,Credit Card
CTB00000265,POL0001346,2026-09-05,1622.14,454.2,1167.94,0.0,Credit Card
CTB00000266,POL0000978,2023-04-18,455.35,81.96,373.39,0.0,Salary Deduction
CTB00000267,POL0003593,2026-09-04,1532.26,383.06,1149.2,0.0,Auto-Debit
CTB00000268,POL0000221,2022-11-25,1356.13,352.59,1003.54,0.0,Credit Card
CTB00000269,POL0002221,2023-01-16,1219.8,195.17,1024.63,0.0,Online Banking
CTB00000270,POL0002790,2025-12-06,1858.07,427.36,1430.71,0.0,Online Banking
CTB00000271,POL0004219,2026-05-15,1128.07,191.77,243.44,692.86,Credit Card
CTB00000272,POL0002434,2026-06-19,361.74,101.29,260.45,0.0,Online Banking
CTB00000273,POL0001755,2024-08-26,1579.47,252.72,424.56,902.19,Auto-Debit
CTB00000274,POL0001693,2025-10-12,67.69,23.69,9.68,34.32,Auto-Debit
CTB00000275,POL0004081,2024-10-19,1048.38,251.61,796.77,0.0,Salary Deduction
CTB00000276,POL0001945,2025-02-16,1402.89,322.66,1080.23,0.0,Auto-Debit
CTB00000277,POL0001982,2021-08-29,1507.97,361.91,435.5,710.56,Salary Deduction
CTB00000278,POL0003567,2025-12-11,1019.75,244.74,775.01,0.0,Auto-Debit
CTB00000279,POL0002201,2024-10-22,420.32,117.69,63.55,239.08,Credit Card
CTB00000280,POL0002747,2022-11-17,1545.31,463.59,454.32,627.4,Credit Card
CTB00000281,POL0004700,2025-04-06,1356.68,474.84,246.92,634.92,Auto-Debit
CTB00000282,POL0003185,2024-04-08,1589.45,349.68,260.35,979.42,Salary Deduction
CTB00000283,POL0004994,2026-03-03,1494.74,493.26,320.47,681.01,Online Banking
CTB00000284,POL0001142,2026-02-14,1797.96,395.55,1402.41,0.0,Credit Card
CTB00000285,POL0003650,2024-10-18,1463.26,482.88,980.38,0.0,Auto-Debit
CTB00000286,POL0002138,2026-04-07,153.35,53.67,48.84,50.84,Auto-Debit
CTB00000287,POL0004271,2025-04-19,1846.42,443.14,294.69,1108.59,Salary Deduction
CTB00000288,POL0001909,2024-07-18,1736.85,260.53,1476.32,0.0,Auto-Debit
CTB00000289,POL0003119,2023-06-22,225.55,74.43,55.91,95.21,Auto-Debit
CTB00000290,POL0002011,2026-07-22,1794.38,340.93,450.57,1002.88,Credit Card
CTB00000291,POL0002645,2026-08-11,1261.28,391.0,313.3,556.98,Credit Card
CTB00000292,POL0001799,2026-04-05,1262.69,239.91,439.8,582.98,Credit Card
CTB00000293,POL0002273,2026-02-07,236.33,73.26,163.07,0.0,Auto-Debit
CTB00000294,POL0003320,2024-12-07,1863.06,503.03,380.81,979.22,Auto-Debit
CTB00000295,POL0002690,2024-02-03,1127.99,315.84,259.89,552.26,Auto-Debit
CTB00000296,POL0002686,2025-02-15,1761.02,299.37,1461.65,0.0,Salary Deduction
CTB00000297,POL0003821,2023-04-27,1169.16,327.36,176.78,665.02,Salary Deduction
CTB00000298,POL0004814,2025-02-12,1086.35,282.45,803.9,0.0,Salary Deduction
CTB00000299,POL0000240,2026-01-06,979.41,146.91,349.65,482.85,Auto-Debit
CTB00000300,POL0001141,2023-08-17,1754.62,421.11,1333.51,0.0,Auto-Debit
CTB00000301,POL0003219,2025-05-07,1251.12,225.2,400.11,625.81,Online Banking
CTB00000302,POL0001212,2025-05-03,337.05,111.23,225.82,0.0,Salary Deduction
CTB00000303,POL0000549,2025-04-30,595.85,148.96,446.89,0.0,Salary Deduction
CTB00000304,POL0004000,2026-02-04,876.88,236.76,281.65,358.47,Auto-Debit
CTB00000305,POL0000150,2026-05-18,1467.56,410.92,221.89,834.75,Auto-Debit
CTB00000306,POL0004663,2026-08-09,631.83,170.59,461.24,0.0,Salary Deduction
CTB00000307,POL0002486,2026-09-04,1961.28,549.16,282.42,1129.7,Credit Card
CTB00000308,POL0004562,2023-10-18,454.33,127.21,71.97,255.15,Credit Card
CTB00000309,POL0003264,2026-07-15,1478.3,266.09,1212.21,0.0,Salary Deduction
CTB00000310,POL0003373,2026-02-10,921.62,202.76,718.86,0.0,Credit Card
CTB00000311,POL0000527,2022-09-14,141.82,45.38,21.22,75.22,Online Banking
CTB00000312,POL0004112,2025-03-12,1413.94,395.9,254.51,763.53,Auto-Debit
CTB00000313,POL0002252,2022-12-30,1545.69,510.08,1035.61,0.0,Credit Card
CTB00000314,POL0004089,2024-12-11,1478.98,340.17,1138.81,0.0,Salary Deduction
CTB00000315,POL0004272,2023-02-15,1527.92,504.21,1023.71,0.0,Online Banking
CTB00000316,POL0003459,2026-02-15,1669.91,267.19,392.76,1009.96,Auto-Debit
CTB00000317,POL0002253,2024-02-23,609.3,182.79,115.16,311.35,Credit Card
