policy_id,participant_id,product_name,product_category,has_pif,start_date,end_date,term_years,payment_mode,contribution_amount,status,agent_id,branch
POL0000051,PTP001991,Personal Accident Takaful,General,False,2021-11-14,2041-11-09,20,Monthly,939.41,Active,AGT0104,Pahang
POL0000052,PTP001734,Family Takaful - Retirement,Family,True,2022-06-12,2032-06-09,10,Monthly,1533.92,Active,AGT0141,Selangor
POL0000053,PTP000585,Personal Accident Takaful,General,False,2025-10-19,2045-10-14,20,Quarterly,1330.26,Matured,AGT0019,Terengganu
POL0000054,PTP001079,Family Takaful - Life Protection,Family,True,2023-03-15,2024-03-14,1,Monthly,838.28,Active,AGT0014,Sabah
POL0000055,PTP002058,Medical & Health Takaful,Family,False,2024-10-05,2034-10-03,10,Monthly,1824.41,Active,AGT0036,Sabah
POL0000056,PTP001181,Fire Takaful,General,False,2022-01-27,2023-01-27,1,Quarterly,614.09,Active,AGT0105,Labuan
POL0000057,PTP000151,Family Takaful - Education,Family,True,2024-07-14,2025-07-14,1,Quarterly,549.38,Active,AGT0103,Perlis
POL0000058,PTP001024,Family Takaful - Life Protection,Family,True,2022-07-31,2027-07-30,5,Quarterly,314.58,Active,AGT0009,Pahang
POL0000059,PTP000951,Personal Accident Takaful,General,False,2022-06-19,2027-06-18,5,Monthly,1346.44,Active,AGT0036,Selangor
POL0000060,PTP000392,Fire Takaful,General,False,2021-07-09,2022-07-09,1,Quarterly,272.05,Active,AGT0079,Sarawak
POL0000061,PTP000916,Motor Takaful,General,False,2022-02-18,2027-02-17,5,Quarterly,494.26,Active,AGT0133,Kelantan
POL0000062,PTP000479,Personal Accident Takaful,General,False,2023-05-30,2028-05-28,5,Semi-Annual,524.35,Active,AGT0106,Negeri Sembilan
POL0000063,PTP001366,Family Takaful - Life Protection,Family,True,2023-06-07,2033-06-04,10,Annual,412.06,Active,AGT0077,Putrajaya
POL0000064,PTP001754,Personal Accident Takaful,General,False,2021-01-21,2026-01-20,5,Annual,564.23,Active,AGT0069,Sabah
POL0000065,PTP000224,Fire Takaful,General,False,2024-12-31,2029-12-30,5,Annual,902.67,Active,AGT0122,Kedah
POL0000066,PTP001134,Fire Takaful,General,False,2025-01-16,2030-01-15,5,Quarterly,1262.57,Active,AGT0024,Pahang
POL0000067,PTP002820,Family Takaful - Life Protection,Family,True,2025-04-21,2040-04-17,15,Semi-Annual,773.31,Active,AGT0017,Melaka
POL0000068,PTP001999,Personal Accident Takaful,General,False,2025-05-17,2030-05-16,5,Quarterly,770.98,Matured,AGT0131,Kuala Lumpur
POL0000069,PTP002538,Medical & Health Takaful,Family,False,2025-09-02,2035-08-31,10,Annual,255.19,Lapsed,AGT0095,Kedah
POL0000070,PTP001021,Medical & Health Takaful,Family,False,2025-02-28,2030-02-27,5,Annual,612.66,Lapsed,AGT0070,Kelantan
POL0000071,PTP001779,Fire Takaful,General,False,2024-07-25,2029-07-24,5,Annual,709.22,Active,AGT0148,Pahang
POL0000072,PTP001024,Family Takaful - Life Protection,Family,True,2024-04-01,2029-03-31,5,Annual,1760.99,Active,AGT0039,Negeri Sembilan
POL0000073,PTP000423,Family Takaful - Retirement,Family,True,2026-04-29,2027-04-29,1,Annual,355.48,Matured,AGT0108,Sarawak
POL0000074,PTP002562,Motor Takaful,General,False,2023-07-09,2033-07-06,10,Semi-Annual,579.33,Active,AGT0085,Perlis
POL0000075,PTP001010,Fire Takaful,General,False,2021-04-18,2036-04-14,15,Annual,1580.34,Lapsed,AGT0038,Negeri Sembilan
POL0000076,PTP002317,Medical & Health Takaful,Family,False,2023-08-27,2043-08-22,20,Monthly,1236.42,Active,AGT0091,Kedah
POL0000077,PTP002760,Motor Takaful,General,False,2021-12-08,2022-12-08,1,Quarterly,817.62,Active,AGT0023,Selangor
POL0000078,PTP001003,Family Takaful - Education,Family,True,2026-07-30,2031-07-29,5,Annual,974.27,Active,AGT0043,Selangor
POL0000079,PTP000391,Family Takaful - Retirement,Family,True,2025-10-02,2040-09-28,15,Monthly,1919.91,Active,AGT0036,Kelantan
POL0000080,PTP002998,Family Takaful - Retirement,Family,True,2023-05-02,2024-05-01,1,Monthly,307.04,Cancelled,AGT0102,Sarawak
POL0000081,PTP002426,Personal Accident Takaful,General,False,2024-05-04,2039-05-01,15,Semi-Annual,823.88,Active,AGT0037,Sabah
POL0000082,PTP001592,Personal Accident Takaful,General,False,2024-04-29,2034-04-27,10,Quarterly,1513.77,Matured,AGT0049,Johor
POL0000083,PTP001885,Family Takaful - Life Protection,Family,True,2024-05-16,2025-05-16,1,Semi-Annual,469.7,Active,AGT0021,Johor
POL0000084,PTP000744,Fire Takaful,General,False,2025-08-22,2040-08-18,15,Annual,1451.28,Active,AGT0105,Putrajaya
POL0000085,PTP002754,Family Takaful - Education,Family,True,2025-08-14,2045-08-09,20,Semi-Annual,487.18,Active,AGT0029,Kuala Lumpur
POL0000086,PTP000430,Medical & Health Takaful,Family,False,2022-03-17,2027-03-16,5,Monthly,732.31,Active,AGT0064,Melaka
POL0000087,PTP002996,Motor Takaful,General,False,2021-05-19,2022-05-19,1,Quarterly,429.64,Active,AGT0070,Sarawak
POL0000088,PTP001951,Fire Takaful,General,False,2025-09-14,2040-09-10,15,Quarterly,1330.74,Cancelled,AGT0071,Johor
POL0000089,PTP001153,Family Takaful - Education,Family,True,2023-12-23,2024-12-22,1,Monthly,1470.32,Matured,AGT0127,Sarawak
POL0000090,PTP000155,Family Takaful - Education,Family,True,2023-10-26,2043-10-21,20,Annual,227.72,Active,AGT0073,Penang
POL0000091,PTP000103,Family Takaful - Education,Family,True,2024-06-30,2029-06-29,5,Monthly,1792.58,Active,AGT0144,Perlis
POL0000092,PTP001709,Family Takaful - Education,Family,True,2025-07-14,2045-07-09,20,Monthly,1998.54,Matured,AGT0011,Kedah
POL0000093,PTP001196,Family Takaful - Life Protection,Family,True,2022-05-15,2027-05-14,5,Semi-Annual,552.74,Active,AGT0067,Perak
POL0000094,PTP000246,Family Takaful - Life Protection,Family,True,2024-07-31,2029-07-30,5,Monthly,195.64,Active,AGT0145,Johor
POL0000095,PTP001990,Personal Accident Takaful,General,False,2022-02-13,2027-02-12,5,Annual,1845.52,Active,AGT0083,Labuan
POL0000096,PTP000406,Personal Accident Takaful,General,False,2021-12-20,2036-12-16,15,Quarterly,276.21,Lapsed,AGT0026,Negeri Sembilan
POL0000097,PTP000067,Family Takaful - Life Protection,Family,True,2024-05-27,2039-05-24,15,Monthly,1354.56,Active,AGT0134,Penang
POL0000098,PTP001186,Family Takaful - Education,Family,True,2022-05-04,2027-05-03,5,Annual,1688.75,Matured,AGT0077,Pahang
POL0000099,PTP000560,Medical & Health Takaful,Family,False,2021-11-04,2041-10-30,20,Annual,465.6,Active,AGT0131,Terengganu
POL0000100,PTP002011,Medical & Health Takaful,Family,False,2024-04-21,2039-04-18,15,Monthly,415.67,Active,AGT0021,Kuala Lumpur
POL0000101,PTP002610,Medical & Health Takaful,Family,False,2024-05-20,2044-05-15,20,Annual,1942.72,Active,AGT0148,Negeri Sembilan
POL0000102,PTP000694,Family Takaful - Life Protection,Family,True,2022-09-14,2023-09-14,1,Monthly,729.28,Active,AGT0061,Penang
POL0000103,PTP001375,Family Takaful - Life Protection,Family,True,2024-09-19,2025-09-19,1,Annual,851.38,Cancelled,AGT0048,Kelantan
POL0000104,PTP000273,Medical & Health Takaful,Family,False,2023-11-04,2033-11-01,10,Semi-Annual,707.41,Active,AGT0128,Negeri Sembilan
POL0000105,PTP000308,Family Takaful - Education,Family,True,2022-07-24,2032-07-21,10,Monthly,601.84,Matured,AGT0120,Melaka
POL0000106,PTP002133,Motor Takaful,General,False,2025-01-10,2040-01-07,15,Semi-Annual,811.33,Active,AGT0057,Kuala Lumpur
POL0000107,PTP000126,Family Takaful - Retirement,Family,True,2022-03-11,2042-03-06,20,Semi-Annual,1981.3,Active,AGT0090,Kelantan
POL0000108,PTP000853,Family Takaful - Retirement,Family,True,2025-01-31,2045-01-26,20,Quarterly,627.68,Matured,AGT0048,Putrajaya
POL0000109,PTP002614,Fire Takaful,General,False,2021-12-20,2036-12-16,15,Annual,354.32,Active,AGT0093,Kelantan
POL0000110,PTP001504,Family Takaful - Education,Family,True,2023-11-27,2038-11-23,15,Annual,1754.23,Active,AGT0011,Penang
POL0000111,PTP001205,Personal Accident Takaful,General,False,2024-01-30,2025-01-29,1,Monthly,1685.72,Cancelled,AGT0097,Perlis
POL0000112,PTP000738,Family Takaful - Retirement,Family,True,2021-06-15,2041-06-10,20,Monthly,917.91,Matured,AGT0001,Perlis
POL0000113,PTP001676,Motor Takaful,General,False,2021-08-30,2031-08-28,10,Monthly,1977.14,Active,AGT0138,Perak
POL0000114,PTP000032,Medical & Health Takaful,Family,False,2025-07-28,2030-07-27,5,Monthly,424.74,Active,AGT0042,Perak
POL0000115,PTP000940,Family Takaful - Life Protection,Family,True,2022-08-30,2027-08-29,5,Quarterly,391.23,Active,AGT0138,Melaka
POL0000116,PTP001930,Family Takaful - Retirement,Family,True,2022-09-30,2042-09-25,20,Semi-Annual,425.58,Active,AGT0070,Penang
POL0000117,PTP000160,Fire Takaful,General,False,2024-01-03,2038-12-30,15,Monthly,1230.41,Active,AGT0027,Johor
POL0000118,PTP001009,Family Takaful - Retirement,Family,True,2021-05-02,2031-04-30,10,Annual,428.77,Matured,AGT0043,Perak
POL0000119,PTP000032,Personal Accident Takaful,General,False,2025-11-24,2035-11-22,10,Semi-Annual,279.44,Cancelled,AGT0143,Kuala Lumpur
POL0000120,PTP002453,Personal Accident Takaful,General,False,2026-03-18,2046-03-13,20,Quarterly,518.51,Matured,AGT0005,Penang
POL0000121,PTP000098,Family Takaful - Retirement,Family,True,2022-02-24,2042-02-19,20,Semi-Annual,611.01,Active,AGT0020,Pahang
POL0000122,PTP000518,Personal Accident Takaful,General,False,2022-01-27,2032-01-25,10,Annual,611.43,Lapsed,AGT0074,Perak
POL0000123,PTP002256,Family Takaful - Education,Family,True,2022-12-19,2023-12-19,1,Quarterly,1301.04,Active,AGT0057,Terengganu
POL0000124,PTP002039,Motor Takaful,General,False,2021-04-13,2026-04-12,5,Monthly,956.09,Active,AGT0025,Kedah
POL0000125,PTP002707,Motor Takaful,General,False,2025-12-27,2035-12-25,10,Quarterly,1865.77,Lapsed,AGT0104,Selangor
POL0000126,PTP001307,Personal Accident Takaful,General,False,2024-09-21,2044-09-16,20,Semi-Annual,680.17,Matured,AGT0096,Negeri Sembilan
POL0000127,PTP002859,Personal Accident Takaful,General,False,2021-03-27,2041-03-22,20,Quarterly,1531.14,Active,AGT0001,Perlis
POL0000128,PTP002469,Medical & Health Takaful,Family,False,2021-07-20,2031-07-18,10,Quarterly,750.61,Active,AGT0140,Perlis
POL0000129,PTP000061,Medical & Health Takaful,Family,False,2021-10-01,2022-10-01,1,Annual,807.59,Active,AGT0060,Putrajaya
POL0000130,PTP001120,Family Takaful - Retirement,Family,True,2025-12-24,2026-12-24,1,Semi-Annual,211.84,Active,AGT0107,Penang
POL0000131,PTP000913,Medical & Health Takaful,Family,False,2021-10-11,2031-10-09,10,Monthly,1196.1,Active,AGT0057,Selangor
POL0000132,PTP002098,Family Takaful - Retirement,Family,True,2023-03-08,2038-03-04,15,Quarterly,1459.63,Active,AGT0102,Negeri Sembilan
POL0000133,PTP001104,Family Takaful - Retirement,Family,True,2026-02-27,2041-02-23,15,Quarterly,1726.38,Active,AGT0003,Negeri Sembilan
POL0000134,PTP002767,Family Takaful - Life Protection,Family,True,2023-09-12,2028-09-10,5,Quarterly,1806.86,Active,AGT0132,Selangor
POL0000135,PTP000131,Family Takaful - Retirement,Family,True,2021-11-24,2036-11-20,15,Semi-Annual,1433.4,Active,AGT0085,Pahang
POL0000136,PTP001011,Personal Accident Takaful,General,False,2025-06-20,2045-06-15,20,Semi-Annual,260.62,Active,AGT0073,Selangor
POL0000137,PTP001574,Family Takaful - Life Protection,Family,True,2026-08-06,2046-08-01,20,Monthly,1627.54,Active,AGT0043,Terengganu
POL0000138,PTP001853,Family Takaful - Education,Family,True,2023-09-07,2028-09-05,5,Quarterly,482.17,Active,AGT0087,Negeri Sembilan
POL0000139,PTP001470,Family Takaful - Life Protection,Family,True,2023-06-30,2024-06-29,1,Quarterly,678.21,Active,AGT0058,Kuala Lumpur
POL0000140,PTP001145,Family Takaful - Education,Family,True,2022-07-27,2042-07-22,20,Quarterly,898.41,Matured,AGT0024,Putrajaya
POL0000141,PTP000647,Family Takaful - Education,Family,True,2026-06-12,2036-06-09,10,Quarterly,1904.99,Lapsed,AGT0007,Negeri Sembilan
POL0000142,PTP000357,Medical & Health Takaful,Family,False,2026-03-16,2046-03-11,20,Quarterly,1858.84,Matured,AGT0092,Kedah
POL0000143,PTP002419,Family Takaful - Life Protection,Family,True,2025-07-22,2040-07-18,15,Annual,1228.04,Matured,AGT0002,Kelantan
POL0000144,PTP000907,Family Takaful - Life Protection,Family,True,2024-12-24,2025-12-24,1,Monthly,1943.79,Lapsed,AGT0041,Kuala Lumpur
POL0000145,PTP001238,Motor Takaful,General,False,2025-01-07,2026-01-07,1,Monthly,410.65,Active,AGT0150,Kuala Lumpur
POL0000146,PTP000436,Motor Takaful,General,False,2023-09-08,2028-09-06,5,Quarterly,462.71,Active,AGT0125,Penang
POL0000147,PTP002473,Family Takaful - Education,Family,True,2021-01-09,2022-01-09,1,Quarterly,1309.95,Lapsed,AGT0088,Perlis
POL0000148,PTP000408,Medical & Health Takaful,Family,False,2022-08-22,2027-08-21,5,Annual,1691.29,Lapsed,AGT0072,Labuan
POL0000149,PTP000263,Motor Takaful,General,False,2025-02-18,2035-02-16,10,Semi-Annual,1941.16,Active,AGT0116,Perak
POL0000150,PTP000930,Family Takaful - Education,Family,True,2024-03-16,2034-03-14,10,Quarterly,1467.56,Active,AGT0060,Penang
POL0000151,PTP001578,Fire Takaful,General,False,2026-04-04,2041-03-31,15,Monthly,1836.3,Active,AGT0097,Negeri Sembilan
POL0000152,PTP001807,Fire Takaful,General,False,2024-03-25,2029-03-24,5,Monthly,915.68,Active,AGT0091,Sarawak
POL0000153,PTP002776,Motor Takaful,General,False,2022-03-04,2023-03-04,1,Annual,1356.66,Active,AGT0108,Perlis
POL0000154,PTP001393,Family Takaful - Education,Family,True,2024-11-12,2029-11-11,5,Annual,1334.73,Active,AGT0007,Sabah
POL0000155,PTP002269,Family Takaful - Education,Family,True,2024-08-08,2039-08-05,15,Annual,1117.51,Active,AGT0016,Perak
POL0000156,PTP000541,Family Takaful - Life Protection,Family,True,2021-10-11,2022-10-11,1,Annual,812.04,Active,AGT0123,Perlis
POL0000157,PTP000838,Family Takaful - Retirement,Family,True,2023-10-05,2028-10-03,5,Annual,344.78,Active,AGT0092,Perak
POL0000158,PTP000294,Personal Accident Takaful,General,False,2022-07-20,2037-07-16,15,Semi-Annual,1646.53,Active,AGT0095,Perlis
POL0000159,PTP000904,Medical & Health Takaful,Family,False,2021-12-10,2022-12-10,1,Quarterly,607.83,Active,AGT0050,Selangor
POL0000160,PTP000165,Family Takaful - Education,Family,True,2023-09-30,2038-09-26,15,Quarterly,1668.85,Active,AGT0138,Perak
POL0000161,PTP000997,Fire Takaful,General,False,2021-10-27,2026-10-26,5,Annual,329.24,Active,AGT0129,Kelantan
POL0000162,PTP001557,Motor Takaful,General,False,2023-05-05,2028-05-03,5,Semi-Annual,1943.25,Active,AGT0142,Sarawak
POL0000163,PTP002798,Medical & Health Takaful,Family,False,2025-08-18,2035-08-16,10,Semi-Annual,1161.74,Matured,AGT0135,Perak
POL0000164,PTP000169,Family Takaful - Education,Family,True,2022-02-07,2032-02-05,10,Monthly,1351.23,Lapsed,AGT0091,Sabah
POL0000165,PTP002869,Medical & Health Takaful,Family,False,2025-05-29,2035-05-27,10,Annual,408.78,Matured,AGT0057,Terengganu
POL0000166,PTP000261,Personal Accident Takaful,General,False,2022-08-15,2037-08-11,15,Semi-Annual,407.0,Active,AGT0089,Kedah
POL0000167,PTP001020,Medical & Health Takaful,Family,False,2025-02-05,2040-02-02,15,Annual,662.33,Active,AGT0106,Melaka
POL0000168,PTP002167,Medical & Health Takaful,Family,False,2024-04-17,2044-04-12,20,Quarterly,880.43,Active,AGT0148,Negeri Sembilan
POL0000169,PTP002901,Family Takaful - Retirement,Family,True,2022-05-08,2023-05-08,1,Quarterly,648.31,Active,AGT0106,Perak
POL0000170,PTP002325,Medical & Health Takaful,Family,False,2024-09-01,2039-08-29,15,Semi-Annual,1090.97,Matured,AGT0037,Kuala Lumpur
POL0000171,PTP001728,Personal Accident Takaful,General,False,2022-06-02,2037-05-29,15,Annual,1757.84,Active,AGT0060,Pahang
POL0000172,PTP002877,Family Takaful - Education,Family,True,2025-12-11,2045-12-06,20,Semi-Annual,1566.37,Active,AGT0069,Perak
POL0000173,PTP000299,Family Takaful - Life Protection,Family,True,2022-03-28,2032-03-25,10,Semi-Annual,902.32,Matured,AGT0048,Perak
POL0000174,PTP000803,Family Takaful - Retirement,Family,True,2026-07-15,2041-07-11,15,Monthly,1122.7,Active,AGT0089,Labuan
POL0000175,PTP002962,Motor Takaful,General,False,2026-03-15,2031-03-14,5,Semi-Annual,778.48,Active,AGT0014,Putrajaya
POL0000176,PTP000100,Family Takaful - Life Protection,Family,True,2023-08-01,2043-07-27,20,Monthly,1082.91,Active,AGT0143,Perak
POL0000177,PTP000996,Family Takaful - Life Protection,Family,True,2025-12-27,2030-12-26,5,Semi-Annual,1402.16,Active,AGT0102,Labuan
POL0000178,PTP001640,Personal Accident Takaful,General,False,2025-12-29,2026-12-29,1,Annual,821.08,Active,AGT0036,Perlis
POL0000179,PTP000822,Family Takaful - Education,Family,True,2022-04-08,2023-04-08,1,Quarterly,1977.46,Active,AGT0013,Negeri Sembilan
POL0000180,PTP002062,Family Takaful - Retirement,Family,True,2022-06-03,2037-05-30,15,Quarterly,1643.36,Active,AGT0055,Perlis
POL0000181,PTP001849,Fire Takaful,General,False,2025-04-10,2026-04-10,1,Quarterly,1896.64,Matured,AGT0139,Kelantan
POL0000182,PTP002043,Fire Takaful,General,False,2021-12-18,2026-12-17,5,Semi-Annual,793.32,Active,AGT0065,Negeri Sembilan
POL0000183,PTP001782,Motor Takaful,General,False,2022-06-30,2023-06-30,1,Semi-Annual,1146.47,Matured,AGT0072,Kuala Lumpur
POL0000184,PTP000466,Personal Accident Takaful,General,False,2023-02-09,2028-02-08,5,Semi-Annual,560.02,Lapsed,AGT0024,Sarawak
POL0000185,PTP001533,Family Takaful - Education,Family,True,2021-01-04,2022-01-04,1,Semi-Annual,261.15,Active,AGT0029,Labuan
POL0000186,PTP001414,Personal Accident Takaful,General,False,2021-09-03,2041-08-29,20,Quarterly,1761.66,Cancelled,AGT0131,Kuala Lumpur
POL0000187,PTP001171,Family Takaful - Retirement,Family,True,2021-10-07,2022-10-07,1,Semi-Annual,599.6,Active,AGT0090,Kelantan
POL0000188,PTP001577,Motor Takaful,General,False,2024-10-24,2025-10-24,1,Semi-Annual,1389.85,Active,AGT0027,Melaka
POL0000189,PTP002110,Fire Takaful,General,False,2023-06-09,2038-06-05,15,Semi-Annual,655.07,Active,AGT0013,Sarawak
POL0000190,PTP000173,Motor Takaful,General,False,2021-02-19,2022-02-19,1,Semi-Annual,1848.24,Active,AGT0115,Johor
POL0000191,PTP001995,Personal Accident Takaful,General,False,2026-01-21,2046-01-16,20,Monthly,561.41,Cancelled,AGT0010,Perak
POL0000192,PTP001895,Personal Accident Takaful,General,False,2022-02-25,2037-02-21,15,Quarterly,1800.04,Active,AGT0027,Perlis
POL0000193,PTP000383,Family Takaful - Education,Family,True,2025-02-07,2045-02-02,20,Annual,1859.29,Cancelled,AGT0133,Perlis
POL0000194,PTP000463,Family Takaful - Education,Family,True,2026-04-10,2041-04-06,15,Quarterly,905.15,Active,AGT0041,Perlis
POL0000195,PTP000269,Medical & Health Takaful,Family,False,2021-06-20,2031-06-18,10,Semi-Annual,1736.43,Cancelled,AGT0138,Sarawak
POL0000196,PTP001536,Family Takaful - Life Protection,Family,True,2023-11-13,2033-11-10,10,Monthly,1305.07,Active,AGT0109,Pahang
POL0000197,PTP001802,Fire Takaful,General,False,2022-09-07,2042-09-02,20,Semi-Annual,770.75,Cancelled,AGT0064,Sabah
POL0000198,PTP001157,Family Takaful - Life Protection,Family,True,2025-05-08,2040-05-04,15,Monthly,1335.94,Active,AGT0124,Pahang
POL0000199,PTP002292,Family Takaful - Education,Family,True,2021-09-30,2031-09-28,10,Semi-Annual,1101.88,Matured,AGT0110,Labuan
POL0000200,PTP002478,Personal Accident Takaful,General,False,2023-05-03,2024-05-02,1,Quarterly,1638.84,Active,AGT0132,Pahang
POL0000201,PTP000838,Family Takaful - Life Protection,Family,True,2026-03-08,2031-03-07,5,Annual,984.03,Active,AGT0144,Kedah
