transaction_id,agent_id,policy_id,transaction_type,transaction_date,commission_rate,commission_amount_shareholders_fund
AGX00000117,AGT0133,POL0003097,New Business,2025-03-02,0.19,165.35
AGX00000118,AGT0110,POL0003392,Renewal,2026-08-19,0.09,33.69
AGX00000119,AGT0092,POL0004452,Renewal,2026-08-12,0.2,276.33
AGX00000120,AGT0099,POL0001478,Renewal,2022-07-01,0.17,41.69
AGX00000121,AGT0011,POL0004206,New Business,2025-10-01,0.22,377.83
AGX00000122,AGT0135,POL0003880,New Business,2025-08-25,0.13,70.65
AGX00000123,AGT0147,POL0000707,New Business,2026-07-12,0.17,263.61
AGX00000124,AGT0077,POL0000893,Renewal,2025-08-20,0.13,113.19
AGX00000125,AGT0069,POL0002277,New Business,2023-09-01,0.12,78.65
AGX00000126,AGT0137,POL0003571,Renewal,2026-07-18,0.2,58.89
AGX00000127,AGT0052,POL0000450,New Business,2026-05-07,0.25,83.95
AGX00000128,AGT0011,POL0003587,Renewal,2024-09-05,0.16,52.4
AGX00000129,AGT0018,POL0004933,Renewal,2025-12-28,0.25,277.33
AGX00000130,AGT0012,POL0001398,New Business,2026-08-08,0.19,311.96
AGX00000131,AGT0140,POL0001345,Renewal,2026-07-02,0.06,48.22
AGX00000132,AGT0019,POL0001888,New Business,2026-03-27,0.17,159.37
AGX00000133,AGT0149,POL0000954,Renewal,2026-09-04,0.25,341.16
AGX00000134,AGT0142,POL0000759,Renewal,2026-01-27,0.15,127.07
AGX00000135,AGT0142,POL0000385,New Business,2026-01-21,0.09,98.95
AGX00000136,AGT0081,POL0004314,Renewal,2023-04-17,0.07,119.49
AGX00000137,AGT0098,POL0004458,Renewal,2023-08-22,0.13,166.13
AGX00000138,AGT0113,POL0001334,Renewal,2025-08-26,0.16,209.78
AGX00000139,AGT0089,POL0002990,New Business,2026-08-15,0.09,152.87
AGX00000140,AGT0126,POL0002644,New Business,2024-06-14,0.07,139.02
AGX00000141,AGT0003,POL0002709,Renewal,2022-02-09,0.11,34.5
AGX00000142,AGT0045,POL0001537,New Business,2026-06-13,0.22,128.17
AGX00000143,AGT0144,POL0003810,New Business,2026-03-09,0.11,11.16
AGX00000144,AGT0024,POL0003009,Renewal,2021-04-29,0.16,63.95
AGX00000145,AGT0074,POL0004290,Renewal,2025-01-08,0.11,204.25
AGX00000146,AGT0078,POL0003330,Renewal,2026-04-10,0.07,28.44
AGX00000147,AGT0084,POL0001994,Renewal,2025-05-03,0.12,238.65
AGX00000148,AGT0090,POL0004365,Renewal,2022-07-18,0.07,15.45
AGX00000149,AGT0077,POL0003770,New Business,2026-03-16,0.22,219.52
AGX00000150,AGT0110,POL0003323,Renewal,2026-08-31,0.11,36.05
AGX00000151,AGT0135,POL0002594,Renewal,2026-09-03,0.16,291.94
AGX00000152,AGT0128,POL0001930,New Business,2026-09-04,0.17,195.68
AGX00000153,AGT0044,POL0002362,Renewal,2025-07-16,0.06,10.54
AGX00000154,AGT0144,POL0001721,Renewal,2026-08-07,0.13,59.86
AGX00000155,AGT0134,POL0001169,Renewal,2022-07-20,0.2,210.73
AGX00000156,AGT0087,POL0004851,Renewal,2025-06-10,0.13,176.2
AGX00000157,AGT0062,POL0001961,New Business,2025-06-16,0.16,30.45
AGX00000158,AGT0023,POL0000077,Renewal,2022-03-20,0.24,196.23
AGX00000159,AGT0130,POL0000551,New Business,2025-08-31,0.18,282.26
AGX00000160,AGT0066,POL0000516,New Business,2024-11-17,0.2,339.53
AGX00000161,AGT0139,POL0003624,New Business,2025-01-17,0.2,383.94
AGX00000162,AGT0074,POL0003220,New Business,2025-09-18,0.06,103.76
AGX00000163,AGT0014,POL0002607,New Business,2026-07-28,0.19,237.64
AGX00000164,AGT0089,POL0000848,Renewal,2024-06-20,0.25,120.06
AGX00000165,AGT0073,POL0002877,New Business,2026-07-18,0.1,87.74
AGX00000166,AGT0069,POL0003763,Renewal,2025-04-10,0.16,178.2
AGX00000167,AGT0058,POL0002639,Renewal,2025-08-24,0.08,28.22
AGX00000168,AGT0021,POL0004883,Renewal,2023-09-17,0.19,95.2
AGX00000169,AGT0060,POL0003918,Renewal,2024-12-07,0.08,118.37
AGX00000170,AGT0053,POL0001050,Renewal,2026-06-06,0.22,162.23
AGX00000171,AGT0037,POL0001657,Renewal,2024-07-29,0.14,110.18
AGX00000172,AGT0034,POL0003172,New Business,2022-06-22,0.23,51.91
AGX00000173,AGT0116,POL0002419,Renewal,2026-02-27,0.13,207.65
AGX00000174,AGT0101,POL0001527,New Business,2026-03-06,0.06,71.51
AGX00000175,AGT0057,POL0001540,New Business,2024-10-03,0.06,46.12
AGX00000176,AGT0048,POL0000975,Renewal,2025-03-04,0.06,89.09
AGX00000177,AGT0007,POL0002537,New Business,2026-03-16,0.17,147.83
AGX00000178,AGT0045,POL0001658,New Business,2025-04-15,0.23,67.94
AGX00000179,AGT0029,POL0000903,New Business,2026-04-24,0.1,105.11
AGX00000180,AGT0031,POL0003621,New Business,2026-03-21,0.08,65.86
AGX00000181,AGT0041,POL0002355,Renewal,2023-06-16,0.23,52.54
AGX00000182,AGT0135,POL0004017,Renewal,2025-04-04,0.07,90.53
AGX00000183,AGT0089,POL0001040,Renewal,2026-01-10,0.22,227.19
AGX00000184,AGT0057,POL0001540,New Business,2024-02-20,0.11,84.56
AGX00000185,AGT0121,POL0002488,Renewal,2025-04-17,0.08,81.19
AGX00000186,AGT0138,POL0000160,Renewal,2025-03-22,0.11,183.57
AGX00000187,AGT0101,POL0000852,Renewal,2025-02-18,0.1,174.54
AGX00000188,AGT0071,POL0000985,Renewal,2025-08-07,0.06,64.85
AGX00000189,AGT0128,POL0003100,Renewal,2025-05-11,0.22,53.01
AGX00000190,AGT0142,POL0004329,Renewal,2026-09-05,0.11,130.34
AGX00000191,AGT0007,POL0003034,Renewal,2024-04-26,0.24,451.08
AGX00000192,AGT0145,POL0002401,Renewal,2023-12-11,0.24,368.88
AGX00000193,AGT0133,POL0000746,New Business,2023-08-23,0.13,138.54
AGX00000194,AGT0101,POL0001310,Renewal,2023-03-21,0.06,15.41
AGX00000195,AGT0011,POL0000110,New Business,2026-08-18,0.05,87.71
AGX00000196,AGT0051,POL0001070,New Business,2023-01-23,0.14,176.99
AGX00000197,AGT0093,POL0002181,New Business,2024-08-28,0.07,5.29
AGX00000198,AGT0060,POL0004157,Renewal,2023-07-03,0.17,202.56
AGX00000199,AGT0002,POL0003145,Renewal,2025-12-30,0.06,9.64
AGX00000200,AGT0047,POL0004027,New Business,2026-07-11,0.12,151.89
AGX00000201,AGT0004,POL0001710,Renewal,2023-08-31,0.1,56.89
AGX00000202,AGT0071,POL0004457,Renewal,2026-01-25,0.11,141.59
AGX00000203,AGT0106,POL0001845,Renewal,2024-02-29,0.05,87.08
AGX00000204,AGT0095,POL0003784,Renewal,2026-07-23,0.07,70.3
AGX00000205,AGT0001,POL0001076,New Business,2026-05-29,0.12,148.69
AGX00000206,AGT0046,POL0004923,New Business,2026-05-18,0.21,151.65
AGX00000207,AGT0104,POL0003695,New Business,2025-04-25,0.17,59.36
AGX00000208,AGT0083,POL0004709,Renewal,2025-03-10,0.14,105.56
AGX00000209,AGT0094,POL0000866,Renewal,2026-05-09,0.17,237.13
AGX00000210,AGT0038,POL0002681,Renewal,2024-04-15,0.17,31.33
AGX00000211,AGT0071,POL0004890,New Business,2026-04-17,0.16,282.47
AGX00000212,AGT0121,POL0001109,Renewal,2026-07-07,0.11,161.27
AGX00000213,AGT0007,POL0001813,Renewal,2021-08-14,0.14,242.02
AGX00000214,AGT0050,POL0001942,Renewal,2026-09-11,0.19,59.53
AGX00000215,AGT0032,POL0001597,New Business,2026-07-08,0.23,280.2
AGX00000216,AGT0043,POL0000840,Renewal,2025-03-13,0.2,27.34
AGX00000217,AGT0122,POL0004692,Renewal,2025-10-10,0.24,40.14
AGX00000218,AGT0005,POL0004312,Renewal,2025-04-28,0.1,131.71
AGX00000219,AGT0028,POL0001628,Renewal,2025-07-27,0.12,86.74
AGX00000220,AGT0087,POL0003475,New Business,2026-07-27,0.1,38.1
AGX00000221,AGT0008,POL0000573,Renewal,2026-09-03,0.05,98.17
AGX00000222,AGT0148,POL0004511,Renewal,2024-09-13,0.22,209.64
AGX00000223,AGT0149,POL0003786,Renewal,2025-08-09,0.17,301.14
AGX00000224,AGT0120,POL0001369,Renewal,2025-11-01,0.09,88.09
AGX00000225,AGT0076,POL0000768,Renewal,2024-10-12,0.21,276.31
AGX00000226,AGT0005,POL0001473,Renewal,2026-07-01,0.11,39.56
AGX00000227,AGT0011,POL0004568,Renewal,2022-06-14,0.24,19.64
AGX00000228,AGT0065,POL0002668,Renewal,2024-01-08,0.17,75.45
AGX00000229,AGT0024,POL0002670,Renewal,2026-07-30,0.12,183.56
AGX00000230,AGT0097,POL0001646,Renewal,2026-01-30,0.06,37.54
AGX00000231,AGT0056,POL0003932,Renewal,2024-04-07,0.21,79.91
AGX00000232,AGT0112,POL0003234,New Business,2024-05-03,0.17,232.05
AGX00000233,AGT0115,POL0004270,New Business,2024-09-11,0.07,99.77
AGX00000234,AGT0130,POL0000369,Renewal,2025-11-19,0.25,12.53
AGX00000235,AGT0132,POL0003468,New Business,2025-07-25,0.18,229.98
AGX00000236,AGT0074,POL0000122,Renewal,2025-09-16,0.16,97.83
AGX00000237,AGT0002,POL0003717,Renewal,2024-09-29,0.22,418.78
AGX00000238,AGT0004,POL0002164,Renewal,2022-09-04,0.1,108.76
AGX00000239,AGT0079,POL0002780,Renewal,2025-07-11,0.24,425.5
AGX00000240,AGT0125,POL0003003,Renewal,2026-04-15,0.06,5.64
AGX00000241,AGT0138,POL0000115,Renewal,2023-12-03,0.09,35.21
AGX00000242,AGT0041,POL0004548,New Business,2026-02-24,0.12,69.47
AGX00000243,AGT0051,POL0002633,Renewal,2025-09-08,0.06,7.12
AGX00000244,AGT0129,POL0001603,New Business,2024-04-10,0.17,260.53
AGX00000245,AGT0056,POL0004178,Renewal,2023-02-06,0.11,160.43
AGX00000246,AGT0144,POL0003425,New Business,2025-12-01,0.24,350.95
AGX00000247,AGT0141,POL0002194,New Business,2026-08-19,0.22,349.81
AGX00000248,AGT0114,POL0000237,New Business,2024-12-10,0.18,64.78
AGX00000249,AGT0139,POL0002533,Renewal,2026-07-16,0.08,103.13
AGX00000250,AGT0118,POL0003885,Renewal,2025-03-28,0.2,137.34
AGX00000251,AGT0002,POL0002965,New Business,2025-05-29,0.15,255.41
AGX00000252,AGT0075,POL0002311,Renewal,2025-10-18,0.25,324.74
AGX00000253,AGT0001,POL0002461,New Business,2022-08-15,0.18,249.61
AGX00000254,AGT0093,POL0000044,New Business,2024-09-09,0.13,197.9
AGX00000255,AGT0071,POL0000985,Renewal,2022-04-17,0.09,97.28
AGX00000256,AGT0049,POL0004462,Renewal,2024-05-07,0.15,224.66
AGX00000257,AGT0062,POL0004997,New Business,2026-03-13,0.2,260.01
AGX00000258,AGT0112,POL0004948,Renewal,2026-07-31,0.07,72.79
AGX00000259,AGT0089,POL0003630,Renewal,2026-03-19,0.06,13.08
AGX00000260,AGT0129,POL0000524,Renewal,2026-08-16,0.09,140.11
AGX00000261,AGT0039,POL0003692,New Business,2023-04-11,0.14,79.28
AGX00000262,AGT0106,POL0004110,Renewal,2026-08-17,0.1,145.29
AGX00000263,AGT0089,POL0001562,Renewal,2024-04-18,0.2,215.29
AGX00000264,AGT0045,POL0000686,Renewal,2024-03-21,0.23,385.44
AGX00000265,AGT0114,POL0003196,Renewal,2025-07-12,0.1,173.38
AGX00000266,AGT0010,POL0000641,Renewal,2024-10-27,0.06,9.52
AGX00000267,AGT0035,POL0001668,Renewal,2026-07-27,0.08,67.33
AGX00000268,AGT0117,POL0001277,Renewal,2023-12-02,0.19,76.43
AGX00000269,AGT0147,POL0004370,New Business,2025-08-22,0.13,241.33
AGX00000270,AGT0001,POL0001789,Renewal,2026-04-01,0.23,29.05
AGX00000271,AGT0023,POL0004500,Renewal,2025-08-03,0.12,160.22
AGX00000272,AGT0061,POL0001584,New Business,2025-09-30,0.17,76.23
AGX00000273,AGT0149,POL0001196,New Business,2025-10-03,0.17,165.33
AGX00000274,AGT0130,POL0002865,New Business,2024-07-30,0.18,146.97
AGX00000275,AGT0038,POL0004646,Renewal,2024-06-04,0.06,29.34
AGX00000276,AGT0066,POL0000025,Renewal,2026-07-24,0.12,76.17
AGX00000277,AGT0134,POL0001495,Renewal,2024-09-10,0.13,18.31
AGX00000278,AGT0139,POL0004317,Renewal,2025-06-29,0.09,14.34
AGX00000279,AGT0029,POL0000522,Renewal,2025-08-25,0.16,133.28
AGX00000280,AGT0116,POL0003226,New Business,2023-07-30,0.08,4.62
AGX00000281,AGT0080,POL0002232,New Business,2025-09-06,0.07,57.04
AGX00000282,AGT0121,POL0000736,Renewal,2024-08-16,0.21,339.06
AGX00000283,AGT0001,POL0000614,Renewal,2025-02-10,0.19,97.47
AGX00000284,AGT0034,POL0003777,New Business,2026-07-16,0.13,27.35
AGX00000285,AGT0080,POL0001529,Renewal,2025-05-29,0.14,272.71
AGX00000286,AGT0052,POL0004520,Renewal,2025-05-13,0.21,20.45
AGX00000287,AGT0031,POL0001895,Renewal,2022-04-09,0.25,205.53
AGX00000288,AGT0008,POL0004964,New Business,2025-06-01,0.22,345.73
AGX00000289,AGT0062,POL0000604,New Business,2025-05-25,0.21,303.12
AGX00000290,AGT0047,POL0002179,Renewal,2026-01-11,0.14,64.26
AGX00000291,AGT0111,POL0004573,New Business,2024-11-06,0.2,362.13
AGX00000292,AGT0033,POL0001609,New Business,2026-01-23,0.23,188.63
AGX00000293,AGT0001,POL0000511,Renewal,2023-07-01,0.23,104.36
AGX00000294,AGT0032,POL0003787,Renewal,2026-07-17,0.06,55.8
AGX00000295,AGT0037,POL0004832,Renewal,2024-02-03,0.07,21.28
AGX00000296,AGT0150,POL0004811,Renewal,2022-07-23,0.09,160.48
AGX00000297,AGT0126,POL0002874,New Business,2025-09-08,0.18,60.11
AGX00000298,AGT0076,POL0004356,Renewal,2026-01-18,0.07,81.8
AGX00000299,AGT0044,POL0001229,New Business,2023-10-20,0.16,271.05
AGX00000300,AGT0078,POL0000254,Renewal,2026-08-06,0.24,434.71
AGX00000301,AGT0126,POL0000379,Renewal,2025-08-22,0.06,103.58
AGX00000302,AGT0117,POL0004630,Renewal,2024-04-03,0.14,112.37
AGX00000303,AGT0002,POL0001093,New Business,2025-08-17,0.13,118.72
AGX00000304,AGT0040,POL0002433,Renewal,2025-02-26,0.22,336.71
AGX00000305,AGT0017,POL0004041,New Business,2025-06-11,0.18,163.46
AGX00000306,AGT0071,POL0002243,Renewal,2023-07-22,0.06,8.82
AGX00000307,AGT0014,POL0001725,New Business,2023-09-19,0.2,191.98
AGX00000308,AGT0149,POL0000752,Renewal,2026-01-03,0.19,356.54
AGX00000309,AGT0110,POL0004415,New Business,2024-08-04,0.09,133.26
AGX00000310,AGT0050,POL0004960,Renewal,2026-08-14,0.16,191.33
AGX00000311,AGT0026,POL0002215,New Business,2023-05-09,0.2,316.74
AGX00000312,AGT0089,POL0002990,Renewal,2026-04-19,0.15,254.78
AGX00000313,AGT0027,POL0003755,New Business,2023-03-16,0.15,117.34
AGX00000314,AGT0104,POL0002887,New Business,2024-04-22,0.21,176.87
AGX00000315,AGT0056,POL0003209,New Business,2023-07-05,0.21,355.57
AGX00000316,AGT0111,POL0004966,New Business,2024-03-13,0.09,65.31
AGX00000317,AGT0054,POL0004104,Renewal,2023-12-23,0.09,31.66
AGX00000318,AGT0025,POL0001623,Renewal,2026-08-19,0.18,331.39
AGX00000319,AGT0014,POL0001725,New Business,2026-04-04,0.06,57.6
AGX00000320,AGT0104,POL0002318,Renewal,2022-01-12,0.17,198.31
AGX00000321,AGT0010,POL0001740,Renewal,2026-06-29,0.21,285.67
AGX00000322,AGT0127,POL0003872,Renewal,2024-08-27,0.05,72.4
AGX00000323,AGT0008,POL0004896,Renewal,2026-02-21,0.11,36.35
AGX00000324,AGT0131,POL0001604,Renewal,2025-09-08,0.09,163.73
AGX00000325,AGT0021,POL0002538,New Business,2023-08-26,0.23,303.66
AGX00000326,AGT0130,POL0004737,Renewal,2026-07-09,0.16,225.8
AGX00000327,AGT0100,POL0004297,Renewal,2021-12-09,0.18,65.23
AGX00000328,AGT0091,POL0001553,New Business,2024-04-24,0.23,87.56
AGX00000329,AGT0032,POL0003304,Renewal,2026-04-22,0.22,260.19
AGX00000330,AGT0002,POL0003723,Renewal,2026-01-03,0.24,94.18
AGX00000331,AGT0003,POL0004841,New Business,2025-03-05,0.11,89.96
AGX00000332,AGT0134,POL0000929,Renewal,2021-12-28,0.23,399.59
AGX00000333,AGT0134,POL0002851,Renewal,2026-01-25,0.21,155.78
AGX00000334,AGT0089,POL0000166,New Business,2024-04-13,0.12,48.84
AGX00000335,AGT0124,POL0001572,New Business,2025-01-19,0.16,228.64
AGX00000336,AGT0035,POL0003351,Renewal,2025-09-12,0.09,81.17
AGX00000337,AGT0135,POL0000163,Renewal,2026-08-28,0.13,151.03
AGX00000338,AGT0018,POL0000565,Renewal,2025-11-06,0.17,173.68
AGX00000339,AGT0146,POL0001072,New Business,2026-04-07,0.2,212.67
AGX00000340,AGT0109,POL0001086,Renewal,2024-12-02,0.18,265.29
AGX00000341,AGT0043,POL0003874,Renewal,2024-06-30,0.09,137.43
AGX00000342,AGT0077,POL0003765,New Business,2025-08-25,0.11,112.1
AGX00000343,AGT0021,POL0004069,Renewal,2023-06-25,0.11,15.73
AGX00000344,AGT0014,POL0001972,Renewal,2025-02-24,0.17,11.82
AGX00000345,AGT0028,POL0003903,New Business,2025-06-24,0.1,17.53
AGX00000346,AGT0040,POL0001329,New Business,2022-10-23,0.15,86.83
AGX00000347,AGT0008,POL0004077,Renewal,2024-10-23,0.17,196.03
AGX00000348,AGT0123,POL0002111,Renewal,2025-11-13,0.19,16.31
AGX00000349,AGT0099,POL0003148,Renewal,2021-04-06,0.13,190.0
AGX00000350,AGT0084,POL0002327,New Business,2025-09-30,0.17,14.8
AGX00000351,AGT0069,POL0004535,Renewal,2022-12-26,0.2,270.35
AGX00000352,AGT0063,POL0001574,Renewal,2024-12-18,0.18,188.4
AGX00000353,AGT0013,POL0002035,New Business,2025-12-30,0.06,56.28
AGX00000354,AGT0099,POL0003483,Renewal,2026-06-16,0.24,195.22
AGX00000355,AGT0084,POL0002068,Renewal,2025-08-02,0.16,311.81
AGX00000356,AGT0012,POL0001717,Renewal,2025-05-18,0.21,181.28
AGX00000357,AGT0077,POL0003200,Renewal,2024-03-08,0.13,192.49
AGX00000358,AGT0098,POL0004435,Renewal,2026-06-02,0.24,456.49
AGX00000359,AGT0041,POL0001475,Renewal,2023-06-21,0.1,162.4
AGX00000360,AGT0095,POL0002060,New Business,2023-06-03,0.21,377.47
